timestamp,gnews_flair,gnews_tb_polarity,gnews_tb_subjectivity,gnews_sid_pos,gnews_sid_neg,gnews_sid_neu,gnews_sid_com
2019-01-01 00:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 01:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 02:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 03:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 04:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 05:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 06:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 07:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 08:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 09:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 10:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 11:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 12:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 13:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 14:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 15:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 16:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 17:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 18:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 19:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 20:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 21:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 22:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-01 23:00:00,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-02 00:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 01:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 02:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 03:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 04:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 05:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 06:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 07:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 08:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 09:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 10:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-02 11:00:00,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
