,gnews_flair,gnews_tb_polarity,gnews_tb_subjectivity,gnews_sid_pos,gnews_sid_neg,gnews_sid_neu,gnews_sid_com
2019-01-01,-0.9897888888888888,0.08502750365755234,0.4302732547965141,0.092,0.04711111111111112,0.8610000000000001,0.6349444444444444
2019-01-02,-0.5764777777777778,0.07029350297262828,0.34482299828385404,0.08988888888888888,0.03177777777777778,0.8783333333333334,0.6933666666666666
2019-01-03,-0.5744555555555555,0.13999424661921622,0.4171395901327434,0.11611111111111112,0.043777777777777784,0.8403333333333333,0.9798666666666668
2019-01-04,-0.3416444444444444,0.09229642525318077,0.3901295479755736,0.09266666666666666,0.03222222222222222,0.8750000000000001,0.5549999999999999
2019-01-05,-0.7287999999999999,0.11433380074111313,0.4226721031670621,0.09133333333333332,0.022,0.8866666666666666,0.7546222222222222
2019-01-06,-0.9807444444444444,0.1450596542813737,0.43916665570099706,0.11266666666666665,0.0398888888888889,0.8474444444444446,0.7494888888888889
2019-01-07,-0.9795888888888888,0.09304522641863198,0.4169717200691419,0.0771111111111111,0.05288888888888888,0.8702222222222223,0.4316777777777777
2019-01-08,-0.9625888888888888,0.08046717572989748,0.3898947865225028,0.08711111111111111,0.056777777777777774,0.856,0.034811111111111084
2019-01-09,-0.7005888888888889,0.06883584364867702,0.3885884992650983,0.08255555555555555,0.053111111111111116,0.8644444444444445,0.5309444444444443
2019-01-10,-0.9996666666666668,0.10014967660503392,0.4489366384929015,0.09000000000000001,0.055444444444444435,0.8548888888888891,0.11041111111111107
2019-01-11,-0.3780555555555555,0.08320927770749445,0.4042903686369036,0.09955555555555556,0.03222222222222222,0.8682222222222223,0.8320666666666666
2019-01-12,-0.5925222222222223,0.0957557714845648,0.4059559562337275,0.09833333333333333,0.05322222222222222,0.8485555555555555,0.6453555555555556
2019-01-13,-0.9960555555555556,0.08230143363862892,0.4166428442344817,0.10855555555555554,0.06277777777777778,0.8286666666666666,0.7747
2019-01-14,-0.6133888888888889,0.06902025166191833,0.3643488857655355,0.07111111111111111,0.059,0.8699999999999999,0.1148222222222222
2019-01-15,-0.8040222222222223,0.07381135519140407,0.4138902115168175,0.08577777777777777,0.05166666666666666,0.8625555555555554,0.5227555555555556
2019-01-16,-0.6970444444444445,0.04998650132046778,0.375456755596033,0.08911111111111109,0.052888888888888895,0.8577777777777779,0.5450777777777778
2019-01-17,-0.3421,0.062126889630044174,0.30975359499357874,0.07877777777777778,0.03044444444444445,0.8907777777777777,0.5758555555555555
2019-01-18,-0.9261333333333336,0.07756832265739927,0.34219873885721785,0.0611111111111111,0.041888888888888885,0.8971111111111111,0.15252222222222225
2019-01-19,-0.7354444444444446,0.07042316999318474,0.329863762637096,0.07288888888888889,0.040999999999999995,0.8859999999999999,0.6134666666666667
2019-01-20,-0.8514666666666666,0.06660778206544235,0.24876337822364586,0.05711111111111111,0.03044444444444445,0.9125555555555556,0.5799444444444445
2019-01-21,-0.7599222222222222,0.07019630488026539,0.3757282409307002,0.08277777777777777,0.041888888888888885,0.875,0.7147777777777777
2019-01-22,-0.5462444444444444,0.09521092523417624,0.4150824188882166,0.10800000000000001,0.039000000000000014,0.8532222222222221,0.6212333333333333
2019-01-23,-0.7295666666666667,0.04075258309680493,0.3622659302455397,0.0661111111111111,0.056777777777777774,0.8770000000000001,0.3314333333333333
2019-01-24,-0.9172,0.0957672632667766,0.3448637961035971,0.091,0.03833333333333333,0.8707777777777778,0.7351222222222222
2019-01-25,-0.3236777777777778,0.09944218921660312,0.466914603499327,0.08588888888888889,0.042,0.872,0.6448
2019-01-26,-0.8043777777777777,0.12958536375578686,0.41836856220485424,0.10233333333333333,0.03744444444444445,0.8604444444444446,0.6880222222222222
2019-01-27,-0.8966333333333333,0.06420676581272416,0.3876019442361854,0.10611111111111113,0.057,0.8371111111111111,0.5495888888888889
2019-01-28,-0.9237111111111109,0.0932448229323416,0.3765199685782893,0.08255555555555556,0.04688888888888889,0.8706666666666666,0.10683333333333332
2019-01-29,-0.8025222222222221,0.0643596797601583,0.3837509066946752,0.08744444444444444,0.05322222222222223,0.8591111111111112,0.6480888888888888
2019-01-30,-0.5165222222222221,0.0491410073604996,0.2730077135091873,0.07022222222222223,0.04311111111111112,0.8868888888888891,0.1273
2019-01-31,-0.3345111111111111,0.07482645465770504,0.3329371272302377,0.08955555555555555,0.01933333333333333,0.8909999999999999,0.7004999999999999
2019-02-01,-0.9514888888888888,0.06939735230831133,0.4105875775779845,0.09544444444444444,0.04711111111111112,0.8575555555555555,0.4092333333333334
2019-02-02,-0.7708222222222223,0.08984925972352993,0.4125867953177511,0.10188888888888888,0.05866666666666667,0.8391111111111109,0.3374111111111111
2019-02-03,-0.9592777777777778,0.0642639423625559,0.4333450267653611,0.08922222222222223,0.043777777777777784,0.8671111111111113,0.4546111111111111
